"obsID"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_12"	"MeasID_13"	"MeasID_15"	"MeasID_16"
"2817"	61	20.5	51.088095238095	NA	NA	NA	NA	1.21659809677326	0.358075	NA	0.066520669735328
"2833"	62	39.0660914785871	0	NA	NA	NA	NA	1.25984737885556	0	NA	0
"2849"	63	13.1718821522231	NA	NA	NA	NA	NA	0.880398159335768	NA	NA	0
"2865"	64	18.4192238230769	37.8341032608696	25.48875	NA	20.970875	NA	1.54304692396252	0.438408333333333	NA	0.253301612506646
"2881"	65	18.4192238230769	37.8341032608696	25.48875	NA	20.970875	NA	1.54304692396252	0.438408333333333	NA	0.253301612506646
"2897"	66	18.4192238230769	37.8341032608696	25.48875	NA	20.970875	NA	1.54304692396252	0.438408333333333	NA	0.253301612506646
"2913"	68	0	0	NA	NA	NA	NA	1.159881298792	0	NA	0.42620755
"2929"	69	0	0	NA	NA	NA	NA	1.159881298792	0	NA	0.42620755
"2945"	70	NA	NA	NA	NA	NA	NA	1.159881298792	NA	NA	0.42620755
"2961"	71	NA	NA	NA	NA	NA	NA	1.159881298792	0	NA	0.42620755
"2977"	72	NA	NA	NA	NA	NA	NA	1.159881298792	NA	NA	0.42620755
"2993"	73	0	NA	NA	NA	NA	NA	3.53	NA	NA	NA
"3009"	74	0	NA	NA	NA	NA	NA	3.53	NA	3.53	NA
"3025"	75	NA	NA	NA	NA	NA	NA	3.53	NA	0	NA
"3041"	76	NA	NA	NA	NA	NA	NA	3.53	NA	3.53	NA
"3057"	77	NA	NA	NA	NA	NA	NA	1.8	0.74	1.8	0
"3073"	78	57.6161361587421	NA	20.56	NA	NA	NA	1.07707582657147	NA	0.136666666666667	NA
"3089"	79	49.7561361587421	NA	17.21	NA	NA	NA	1.12374249323813	NA	0.183333333333333	NA
"3105"	80	23.6756053411538	NA	NA	NA	NA	NA	1.79140905604149	NA	NA	NA
"3121"	81	23.8521042812986	31.3055555555555	16.9925	NA	13.9805833333333	NA	1.59268116019974	0.482620833333333	NA	0.213995554728096
"3137"	82	13.5576260594571	24.7181818181818	20.391	NA	16.7767	NA	1.67546855291062	0.2124	NA	0.112149968899522
"3153"	83	22.8000060315769	35.8091774891775	14.565	NA	11.9833571428571	NA	2.23358314716933	0.151714285714286	NA	0.161962995642515
"3169"	84	19.9283170406702	36.6263888888889	NA	NA	NA	NA	1.48232785007986	0.313343333333333	NA	0.160728446759259
"3185"	85	20.0980642844945	23.25	NA	NA	NA	NA	2.1104613975017	0.1790375	NA	0.105713888888889
"3201"	86	0	NA	NA	NA	NA	NA	0.696620809106818	NA	NA	0.2478518671875
"3217"	87	36.77150841	NA	NA	NA	NA	NA	1.29769499277813	NA	0	NA
"3233"	88	7.22527595600804	NA	NA	NA	NA	NA	1.07595751188773	0.193201944444444	0.0999630685833335	0.11472485
"3249"	89	9.33526103754167	NA	NA	NA	NA	NA	2.30689018539551	0.129101388888889	0.276326228945179	0.2285463
"3265"	90	7.22527595600804	NA	NA	NA	NA	0	1.07595751188773	0.193201944444444	0.0999630685833335	0.11472485
"3281"	91	7.22527595600804	NA	NA	NA	NA	0	1.07595751188773	0.193201944444444	0.0999630685833335	0.11472485
"3297"	92	11.65	NA	NA	NA	NA	NA	1.24457690655682	NA	NA	0.5
"3313"	93	1.098125	NA	NA	NA	NA	NA	1.63847838902467	NA	NA	0.0365
"3329"	94	13.3434226666667	NA	NA	NA	NA	NA	1.63259895476961	NA	NA	NA
"3345"	95	0	NA	NA	NA	NA	NA	2.29666666666667	NA	NA	NA
"3361"	96	NA	NA	NA	NA	NA	NA	0.674666666666667	0	NA	0
"3377"	97	NA	NA	NA	NA	NA	NA	0.46150278992189	0	NA	0.06125
"3393"	98	25.7391165673058	NA	NA	NA	NA	NA	2.21373398216674	NA	NA	0.993579840275
"3409"	99	25.7391165673058	NA	NA	NA	NA	NA	2.21373398216674	NA	NA	0.993579840275
"3425"	100	25.7391165673058	NA	NA	NA	NA	NA	2.21373398216674	NA	NA	0.993579840275
"3441"	101	0	NA	NA	NA	NA	NA	1.4952	NA	NA	NA
"3457"	102	0	NA	NA	NA	NA	NA	0.7161	NA	1.414799087625	NA
"3473"	103	14.2044824096667	NA	NA	NA	NA	NA	1.13233644648509	0.252738333333333	0.551709026254103	NA
"3489"	104	27.6	NA	15.38	27.6	NA	NA	0	NA	NA	NA
"3505"	105	31.39	NA	16.36	31.39	NA	NA	2.91488742857143	NA	NA	NA
"3521"	106	28.12	NA	16.71	28.12	NA	NA	1.80744983705	NA	NA	NA
"3537"	107	35.87	NA	18.27	35.87	NA	NA	1.26050326682857	NA	NA	NA
"3553"	108	21.56	NA	16.36	21.56	NA	NA	2.75269047618571	NA	NA	0.745
"3569"	109	21.9	NA	15.56	21.9	NA	NA	1.91586635699883	0.813938888888889	1.99926137166667	NA
"3585"	110	NA	NA	NA	NA	NA	NA	0.66	0.56	NA	NA
"3601"	111	NA	NA	NA	NA	NA	NA	0.66	0.56	NA	NA
"3617"	112	NA	NA	NA	NA	NA	NA	0.66	0.56	NA	NA
"3633"	113	NA	NA	NA	NA	NA	NA	1.62	1.87	NA	1.35
"3649"	114	NA	NA	NA	NA	NA	NA	1.01	0	NA	0
"3665"	115	NA	NA	NA	NA	NA	NA	0.664775625336364	0	NA	0
"3681"	117	NA	NA	NA	NA	NA	NA	0.664775625336364	0	NA	0
"3697"	118	5.47954004971667	NA	NA	NA	NA	NA	2.12739539865849	0.104575	NA	NA
