"obsID"	"Meas_19"	"Meas_20"	"Meas_21"	"Meas_22"	"Meas_23"	"Meas_24"	"Meas_25"	"Meas_26"	"Meas_27"	"Meas_28"	"Meas_29"	"Meas_30"
"190"	75	NA	NA	980	NA	NA	NA	NA	NA	NA	NA	3.525	NA
"191"	76	NA	NA	980	NA	NA	NA	NA	NA	NA	NA	3.525	NA
"192"	77	490	NA	480	NA	NA	NA	NA	NA	NA	0.74	1.8	NA
"193"	78	NA	NA	528.5	NA	NA	NA	61.68	101.9	NA	NA	0.41	NA
"194"	79	NA	NA	581.5	NA	NA	NA	51.63	78.32	NA	NA	0.55	NA
"195"	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"196"	81	NA	NA	NA	53	NA	NA	NA	NA	NA	NA	NA	NA
"197"	82	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"198"	83	NA	NA	NA	52	NA	NA	NA	NA	NA	NA	NA	NA
"199"	84	NA	NA	NA	68	NA	NA	NA	NA	NA	NA	NA	NA
"200"	85	NA	NA	NA	84	NA	NA	NA	NA	NA	NA	NA	NA
"201"	86	233.71	NA	13.89	NA	NA	NA	NA	NA	NA	0.74	0.36	NA
"202"	87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"203"	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"204"	89	NA	1380	560	NA	NA	NA	NA	NA	NA	NA	0.962	0.59
"205"	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.78	NA
"206"	91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.72	NA
"207"	92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"208"	93	NA	NA	NA	NA	NA	29.4	NA	NA	20	1.6	NA	NA
"209"	94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"210"	95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"211"	96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"212"	97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"213"	98	13.2	121.85	37.95	NA	NA	45.6	NA	61.4	NA	0.9	0.73	3.21
"214"	99	30.5	61.85	63.2	NA	NA	31.85	NA	64.55	NA	0.66	0.72	0.98
"215"	100	13.2	163.85	28	NA	NA	35.55	NA	81.4	NA	0.7	0.62	5.85
"216"	101	NA	1649	980	NA	NA	NA	NA	NA	NA	NA	NA	1.68
"217"	102	NA	715	510	NA	NA	NA	NA	NA	NA	NA	NA	1.4
"218"	103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"219"	104	NA	98.26	127.81	NA	NA	NA	15.38	27.6	NA	NA	NA	0.81
"220"	105	NA	208.09	154.76	NA	NA	NA	16.36	31.39	NA	NA	NA	1.9
"221"	106	NA	153.17	51.58	NA	NA	NA	16.71	28.12	NA	NA	NA	3.96
"222"	107	NA	75.14	95.48	NA	NA	NA	18.27	35.87	NA	NA	NA	1.22
"223"	108	NA	115.5	138.29	NA	NA	NA	16.36	21.56	NA	NA	NA	0.88
"224"	109	NA	826.58	144.31	NA	NA	NA	15.56	21.9	NA	NA	NA	5.36
"225"	110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"226"	111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"227"	112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"228"	113	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.87	1.62	NA
"229"	114	342	NA	NA	NA	NA	NA	NA	NA	NA	0.51	NA	NA
"230"	115	379	NA	NA	NA	NA	NA	NA	NA	NA	0.45	NA	NA
"231"	117	4	NA	NA	NA	NA	NA	NA	NA	NA	0.43	0.56	NA
"232"	118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
