obsNsubID	obsID	GenusSpecies	Genus	Species	status	subObsID	sppdens_inv	sppdens_nat	spperc_inv	spperc_nat	leafCN	litterCN	rootCN	shootCN	stemCN	ligmass	leaflign	litterlign	leafNarea	leafNmass	litterNmass	rootNmass	shootNmass	stemNmass	leafSLA	litterSLA
1	1	Bromus tectorum	Bromus	tectorum	I	1	NA	NA	80	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	1	Stipa robusta	Stipa	robusta	N	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	1	Stipa comata	Stipa	comata	N	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	1	Bouteloua gracilis	Bouteloua	gracilis	N	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	1	Bouteloua curtipendula	Bouteloua	curtipendula	N	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	1	Andropogon gerardii	Andropogon	gerardii	N	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	2	Microstegium vimineum	Microstegium	vimineum	I	1	NA	NA	62	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	2	Verbesina alternifolia	Verbesina	alternifolia	N	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	2	Platanus occidentalis	Platanus	occidentalis	N	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	2	Pilea pumila	Pilea	pumila	N	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	2	Lirodendron tulipifera	Lirodendron	tulipifera	N	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	2	Agrostis perrenans	Agrostis	perrenans	N	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	2	Acer negundo	Acer	negundo	N	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	3	Fallopia japonica	Fallopia	japonica	I	1	NA	NA	NA	0	16.80	NA	NA	NA	66.58	24.63	NA	24.83	NA	2.58	0.91	NA	1.42	0.65	NA	NA
15	3	Populus deltoides	Populus	deltoides	N	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	3	Carya ovata	Carya	ovata	N	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.00	NA	13.48	NA	NA	1.37	NA	NA	NA	NA	NA
17	3	Acer saccharum	Acer	saccharum	N	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	3	Acer saccharinum	Acer	saccharinum	N	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	4	Typha x glauca	Typha	glauca	I	1	NA	NA	100	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	4	Schoenoplectus americanus	Schoenoplectus	americanus	N	2	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	4	Schoenoplectus acutus	Schoenoplectus	acutus	N	3	NA	NA	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
