"Genus"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_9"	"MeasID_10"	"MeasID_11"	"MeasID_12"	"MeasID_13"	"MeasID_14"	"MeasID_15"	"MeasID_16"	"MeasID_17"	"MeasID_18"
"46"	"Adelobotrys"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.73	NA	NA	NA	NA	12.599399876	NA
"47"	"Adenanthera"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.99333333333333	NA	NA	NA	NA	NA	NA
"48"	"Adenanthos"	NA	NA	NA	NA	NA	NA	NA	NA	1.8313022415	0.809333333333333	NA	NA	NA	NA	4.299891258	NA
"49"	"Adenocalymma"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.152915493	NA
"50"	"Adenocarpus"	NA	NA	NA	NA	NA	NA	NA	NA	3.882967714	3.88958	NA	NA	NA	NA	10.017028949	NA
"51"	"Adenophora"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.848	NA	NA	NA	NA	NA	NA
"52"	"Adenostoma"	NA	NA	NA	NA	NA	NA	NA	NA	2.5059860215	1.02681161379167	NA	NA	NA	0.264749	4.4054946096	NA
"53"	"Adenostyles"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6103225	NA	NA	NA	0.875912	24.769	NA
"54"	"Adesmia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.979463108	NA
"55"	"Adiantum"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0375	NA	NA	NA	NA	33.623662131	NA
"56"	"Adina"	NA	NA	NA	NA	NA	NA	NA	NA	2.55607	2.09	NA	NA	NA	NA	8.176614881	NA
"57"	"Adinandra"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.135	NA	NA	NA	NA	7.47333333333333	NA
"58"	"Adonis"	NA	NA	NA	NA	NA	NA	NA	NA	1.944525233	1.545	NA	NA	NA	NA	22.8684769836842	NA
"59"	"Adoxa"	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.725	NA	NA	NA	NA	38.45	NA
