"obsID"	"traitcolnum"	"traitname"	"invCWM"	"natCWM"	"numspp"	"numinfospp"	"info"
"80"	"5"	"16"	"MeasID_18"	15.3306111111111	15.5472222222222	8	"6"	NA
"81"	"6"	"1"	"MeasID_3"	49.5857142857143	42.699	7	"3"	NA
"82"	"6"	"2"	"MeasID_4"	66.7857142857143	61.361	7	"3"	NA
"83"	"6"	"3"	"MeasID_5"	103.014285714286	77.701	7	"3"	NA
"84"	"6"	"4"	"MeasID_6"	NA	NA	7	"0"	NA
"85"	"6"	"5"	"MeasID_7"	NA	NA	7	"0"	NA
"86"	"6"	"6"	"MeasID_8"	NA	NA	7	"0"	NA
"87"	"6"	"7"	"MeasID_9"	NA	NA	7	"0"	NA
"88"	"6"	"8"	"MeasID_10"	NA	NA	7	"0"	NA
"89"	"6"	"9"	"MeasID_11"	1.17763989201905	2.51257763975	7	"4"	NA
"90"	"6"	"10"	"MeasID_12"	2.19240986309524	1.67957817361111	7	"6"	NA
"91"	"6"	"11"	"MeasID_13"	1.12857142857143	0.5977	7	"3"	NA
"92"	"6"	"12"	"MeasID_14"	0.814285714285714	0.4945	7	"3"	NA
"93"	"6"	"13"	"MeasID_15"	NA	NA	7	"0"	NA
"94"	"6"	"14"	"MeasID_16"	NA	NA	7	"0"	NA
"95"	"6"	"15"	"MeasID_17"	20.312497238775	10.1608363204787	7	"6"	NA
"96"	"6"	"16"	"MeasID_18"	NA	NA	7	"0"	NA
"97"	"7"	"1"	"MeasID_3"	49.5857142857143	42.699	7	"3"	NA
"98"	"7"	"2"	"MeasID_4"	66.7857142857143	61.361	7	"3"	NA
"99"	"7"	"3"	"MeasID_5"	103.014285714286	77.701	7	"3"	NA
"100"	"7"	"4"	"MeasID_6"	NA	NA	7	"0"	NA
"101"	"7"	"5"	"MeasID_7"	NA	NA	7	"0"	NA
"102"	"7"	"6"	"MeasID_8"	NA	NA	7	"0"	NA
"103"	"7"	"7"	"MeasID_9"	NA	NA	7	"0"	NA
"104"	"7"	"8"	"MeasID_10"	NA	NA	7	"0"	NA
"105"	"7"	"9"	"MeasID_11"	1.17763989201905	2.51257763975	7	"4"	NA
"106"	"7"	"10"	"MeasID_12"	2.19240986309524	1.67957817361111	7	"6"	NA
"107"	"7"	"11"	"MeasID_13"	1.12857142857143	0.5977	7	"3"	NA
"108"	"7"	"12"	"MeasID_14"	0.814285714285714	0.4945	7	"3"	NA
"109"	"7"	"13"	"MeasID_15"	NA	NA	7	"0"	NA
"110"	"7"	"14"	"MeasID_16"	NA	NA	7	"0"	NA
"111"	"7"	"15"	"MeasID_17"	20.312497238775	10.1608363204787	7	"6"	NA
"112"	"7"	"16"	"MeasID_18"	NA	NA	7	"0"	NA
"113"	"8"	"1"	"MeasID_3"	9.85999172700692	9.64875890830269	2	"2"	NA
"114"	"8"	"2"	"MeasID_4"	NA	NA	2	"0"	NA
"115"	"8"	"3"	"MeasID_5"	NA	NA	2	"0"	NA
"116"	"8"	"4"	"MeasID_6"	NA	NA	2	"0"	NA
"117"	"8"	"5"	"MeasID_7"	NA	NA	2	"0"	NA
