"obsID"	"nh_C"	"no_C"	"toti_C"	"ammon_C"	"nitrif_C"	"nminz_C"	"soilN_C"	"SOM_C"	"soilcn_C"	"microbialcn_C"	"soilmoi_C"	"pH_C"
"66"	66	NA	4	NA	NA	NA	NA	NA	4.3	NA	NA	NA	4.9
"68"	68	2.19	0.56	2.75	NA	NA	NA	NA	10.66	NA	NA	NA	3.74
"69"	69	2.19	0.56	2.75	NA	NA	NA	NA	10.66	NA	NA	NA	3.74
"70"	70	2.19	0.56	2.75	NA	NA	NA	NA	10.66	NA	NA	NA	3.74
"71"	71	2.19	0.56	2.75	NA	NA	NA	NA	10.66	NA	NA	NA	3.74
"72"	72	2.19	0.56	2.75	NA	NA	NA	NA	10.66	NA	NA	NA	3.74
"73"	73	30.97	NA	NA	NA	NA	1.52	NA	NA	NA	23.89	NA	NA
"74"	74	NA	NA	NA	NA	NA	0.53	1.09	NA	NA	12.72	NA	NA
"75"	75	30.97	NA	NA	NA	NA	1.52	NA	NA	NA	23.89	NA	NA
"76"	76	NA	NA	NA	NA	NA	0.53	1.09	NA	NA	12.72	NA	NA
"77"	77	NA	NA	NA	0.133	0.3142	NA	NA	NA	NA	NA	NA	NA
"78"	78	NA	NA	NA	NA	0.0745	0.127	0.29	NA	16.87	NA	NA	NA
"79"	79	NA	NA	NA	NA	0.1068	0.2145	0.25	NA	14.16	NA	NA	NA
"80"	80	NA	NA	NA	NA	NA	0.0053	NA	NA	NA	NA	NA	NA
"81"	81	NA	NA	NA	NA	NA	0.89	NA	NA	NA	NA	NA	5.73
"82"	82	NA	NA	NA	NA	NA	4.62	NA	NA	NA	NA	NA	5.67
"83"	83	NA	NA	NA	NA	NA	5.1	NA	NA	NA	NA	NA	5.26
"84"	84	NA	NA	NA	NA	NA	0.54	NA	NA	NA	NA	NA	6.12
"85"	85	NA	NA	NA	NA	NA	2.68	NA	NA	NA	NA	NA	5.29
"86"	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"87"	87	NA	1.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.47
"88"	88	NA	NA	33	NA	NA	0.2983	0.14	NA	11.7	4	NA	NA
"89"	89	2.59	3.98	6.57	NA	NA	NA	0.33	NA	19.03	NA	NA	7.62
"90"	90	NA	NA	9.28	NA	NA	NA	0.17	NA	11.13	NA	NA	6.23
"91"	91	NA	NA	2.97	NA	NA	NA	0.33	NA	12.35	NA	NA	6.17
"92"	92	NA	NA	NA	NA	NA	NA	0.8	NA	1.81	NA	NA	6.5
"93"	93	NA	NA	19.21	0.1113	0.208	0.3197	0.21	NA	12.78	NA	22.6	6.6
"94"	94	4.57	1.47	6.04	NA	NA	NA	NA	NA	NA	NA	4.16	NA
"95"	95	4.58	1.8	6.38	NA	NA	NA	NA	NA	NA	NA	3.89	NA
