"obsID"	"nh_I"	"no_I"	"toti_I"	"ammon_I"	"nitrif_I"	"nminz_I"	"soilN_I"	"SOM_I"	"soilcn_I"	"microbialcn_I"	"soilmoi_I"	"pH_I"
"66"	66	NA	3.6	NA	NA	NA	NA	NA	4.4	NA	NA	NA	5.5
"68"	68	8.63	0.68	9.31	NA	NA	NA	NA	7.77	NA	NA	NA	4.18
"69"	69	6.52	0.6	7.12	NA	NA	NA	NA	9.13	NA	NA	NA	3.59
"70"	70	16.36	1.61	17.96	NA	NA	NA	NA	12.87	NA	NA	NA	3.71
"71"	71	4.8	0.57	5.37	NA	NA	NA	NA	11.12	NA	NA	NA	3.76
"72"	72	20.64	1.77	22.42	NA	NA	NA	NA	12.14	NA	NA	NA	3.82
"73"	73	33.48	NA	NA	NA	NA	0.7	NA	NA	NA	22.86	NA	NA
"74"	74	NA	NA	NA	NA	NA	-1.98	0.86	NA	NA	48.93	NA	NA
"75"	75	33.35	NA	NA	NA	NA	2.48	NA	NA	NA	30.32	NA	NA
"76"	76	NA	NA	NA	NA	NA	-0.57	1.07	NA	NA	61.8	NA	NA
"77"	77	NA	NA	NA	0.1442	0.3417	NA	NA	NA	NA	NA	NA	NA
"78"	78	NA	NA	NA	NA	0.0591	0.0888	0.25	NA	16.25	NA	NA	NA
"79"	79	NA	NA	NA	NA	0.0338	0.1765	0.25	NA	14.85	NA	NA	NA
"80"	80	NA	NA	NA	NA	NA	5e-04	NA	NA	NA	NA	NA	NA
"81"	81	NA	NA	NA	NA	NA	0.89	NA	NA	NA	NA	NA	5.74
"82"	82	NA	NA	NA	NA	NA	8.81	NA	NA	NA	NA	NA	6.2
"83"	83	NA	NA	NA	NA	NA	5.26	NA	NA	NA	NA	NA	5.75
"84"	84	NA	NA	NA	NA	NA	1.53	NA	NA	NA	NA	NA	6.37
"85"	85	NA	NA	NA	NA	NA	5.02	NA	NA	NA	NA	NA	5.88
"86"	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"87"	87	NA	3.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.86
"88"	88	NA	NA	14	NA	NA	0.2395	0.15	NA	13.3	5.1	NA	NA
"89"	89	2.15	3.38	5.53	NA	NA	NA	0.35	NA	18.62	NA	NA	7.6
"90"	90	NA	NA	2.26	NA	NA	NA	0.19	NA	11.26	NA	NA	6.2
"91"	91	NA	NA	1.67	NA	NA	NA	0.3	NA	12.06	NA	NA	6.14
"92"	92	NA	NA	NA	NA	NA	NA	0.82	NA	2	NA	NA	6.51
"93"	93	NA	NA	20.9	0.131	0.2907	0.4217	0.26	NA	11.89	NA	31.6	6.5
"94"	94	6.64	3.28	9.92	NA	NA	NA	NA	NA	NA	NA	4.35	NA
"95"	95	4.43	2.46	6.89	NA	NA	NA	NA	NA	NA	NA	3.79	NA
"96"	96	2.57	12.81	15.38	NA	NA	0.035	0.08	2.29	16.2	NA	NA	NA
"97"	97	1.97	2.47	4.44	NA	NA	0.0064	0.05	2.47	25.6	NA	NA	NA
"98"	98	3.5	1.29	4.79	-0.01	-0.004	-0.002	0.79	NA	45.65	NA	NA	NA
"99"	99	1.34	0.5	1.84	-0.002	0.006	0.006	0.77	NA	47	NA	NA	NA
